path_to_object,start_date,end_date_time,duration,PM_name,index,value
"ManagedElement=LNSK207,ENodeBFunction=1,EUtranCellFDD=LNSK207M",2023-02-21T01:30:00+00:00,2023-02-21T01:45:00+00:00,900,pmUeThpTimeDl,0,15823
"ManagedElement=LNSK207,ENodeBFunction=1,EUtranCellFDD=LNSK207M",2023-02-21T01:30:00+00:00,2023-02-21T01:45:00+00:00,900,pmUeThpTimeUl,0,10069
"ManagedElement=LNSK207,ENodeBFunction=1,EUtranCellFDD=LNSK207M",2023-02-21T01:30:00+00:00,2023-02-21T01:45:00+00:00,900,pmUeThpVolUl,0,6940
"ManagedElement=LNSK207,ENodeBFunction=1,EUtranCellFDD=LNSK207LY",2023-02-21T01:30:00+00:00,2023-02-21T01:45:00+00:00,900,pmCellDowntimeAuto,,0
"ManagedElement=LNSK207,ENodeBFunction=1,EUtranCellFDD=LNSK207LY",2023-02-21T01:30:00+00:00,2023-02-21T01:45:00+00:00,900,pmCellDowntimeMan,,0
"ManagedElement=LNSK207,ENodeBFunction=1,EUtranCellFDD=LNSK207LY",2023-02-21T01:30:00+00:00,2023-02-21T01:45:00+00:00,900,pmCellSleepTime,,0
"ManagedElement=LNSK207,ENodeBFunction=1,EUtranCellFDD=LNSK207LY",2023-02-21T01:30:00+00:00,2023-02-21T01:45:00+00:00,900,pmEndcCapableUeInitSetup,,0
"ManagedElement=LNSK207,ENodeBFunction=1,EUtranCellFDD=LNSK207LY",2023-02-21T01:30:00+00:00,2023-02-21T01:45:00+00:00,900,pmPdcpVolDlDrb,0,127842
"ManagedElement=LNSK207,ENodeBFunction=1,EUtranCellFDD=LNSK207LY",2023-02-21T01:30:00+00:00,2023-02-21T01:45:00+00:00,900,pmPdcpVolDlDrbLastTTI,0,123625
"ManagedElement=LNSK207,ENodeBFunction=1,EUtranCellFDD=LNSK207LY",2023-02-21T01:30:00+00:00,2023-02-21T01:45:00+00:00,900,pmPdcpVolUlDrb,0,30869
"ManagedElement=LNSK207,ENodeBFunction=1,EUtranCellFDD=LNSK207LY",2023-02-21T01:30:00+00:00,2023-02-21T01:45:00+00:00,900,pmPrbUtilDl,0,15
"ManagedElement=LNSK207,ENodeBFunction=1,EUtranCellFDD=LNSK207LY",2023-02-21T01:30:00+00:00,2023-02-21T01:45:00+00:00,900,pmPrbUtilDl,1,0
"ManagedElement=LNSK207,ENodeBFunction=1,EUtranCellFDD=LNSK207LY",2023-02-21T01:30:00+00:00,2023-02-21T01:45:00+00:00,900,pmPrbUtilDl,2,0
"ManagedElement=LNSK207,ENodeBFunction=1,EUtranCellFDD=LNSK207LY",2023-02-21T01:30:00+00:00,2023-02-21T01:45:00+00:00,900,pmPrbUtilDl,3,0
"ManagedElement=LNSK207,ENodeBFunction=1,EUtranCellFDD=LNSK207LY",2023-02-21T01:30:00+00:00,2023-02-21T01:45:00+00:00,900,pmPrbUtilDl,4,0
"ManagedElement=LNSK207,ENodeBFunction=1,EUtranCellFDD=LNSK207LY",2023-02-21T01:30:00+00:00,2023-02-21T01:45:00+00:00,900,pmPrbUtilDl,5,0
"ManagedElement=LNSK207,ENodeBFunction=1,EUtranCellFDD=LNSK207LY",2023-02-21T01:30:00+00:00,2023-02-21T01:45:00+00:00,900,pmPrbUtilDl,6,0
"ManagedElement=LNSK207,ENodeBFunction=1,EUtranCellFDD=LNSK207LY",2023-02-21T01:30:00+00:00,2023-02-21T01:45:00+00:00,900,pmPrbUtilDl,7,0
"ManagedElement=LNSK207,ENodeBFunction=1,EUtranCellFDD=LNSK207LY",2023-02-21T01:30:00+00:00,2023-02-21T01:45:00+00:00,900,pmPrbUtilDl,8,0
"ManagedElement=LNSK207,ENodeBFunction=1,EUtranCellFDD=LNSK207LY",2023-02-21T01:30:00+00:00,2023-02-21T01:45:00+00:00,900,pmPrbUtilDl,9,0
"ManagedElement=LNSK207,ENodeBFunction=1,EUtranCellFDD=LNSK207LY",2023-02-21T01:30:00+00:00,2023-02-21T01:45:00+00:00,900,pmPrbUtilUl,0,15
